"No.","Time","Source","Destination","Protocol","Length","Info"
"3057","529.336227","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3058","529.336263","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3059","529.336269","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3060","529.336322","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3061","529.336342","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3062","529.338252","1.2.3","host","USB","2081","URB_ISOCHRONOUS in"
"3063","529.338326","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3064","529.339222","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3065","529.342291","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3066","529.342396","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3067","529.342427","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3068","529.345236","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3069","529.345266","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3070","529.345334","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3071","529.345344","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3072","529.348281","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3073","529.349286","1.2.3","host","USB","2081","URB_ISOCHRONOUS in"
"3074","529.349554","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3075","529.351282","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3076","529.351369","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3077","529.351390","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3078","529.354226","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3079","529.354271","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3080","529.354279","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3081","529.357297","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3082","529.357394","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3083","529.357425","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3084","529.359265","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3085","529.359420","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3086","529.360255","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3087","529.360310","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3088","529.363286","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3089","529.363310","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3090","529.363319","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3091","529.366230","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3092","529.366293","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3093","529.366315","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3094","529.369284","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3095","529.369303","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3096","529.369376","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3097","529.372236","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3098","529.372285","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3099","529.372293","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3100","529.372370","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3101","529.372394","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3102","529.375277","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3103","529.375301","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3104","529.378241","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3105","529.379273","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3106","529.379340","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3107","529.381230","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3108","529.381274","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3109","529.381281","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3110","529.381354","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3111","529.381377","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3112","529.384226","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3113","529.387230","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3114","529.387369","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3115","529.387383","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3116","529.389247","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3117","529.389380","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3118","529.390235","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3119","529.390276","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3120","529.390359","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3121","529.390370","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3122","529.393304","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3123","529.396279","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
