"No.","Time","Source","Destination","Protocol","Length","Info"
"3639","111.111189","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3640","111.111324","host","1.2.1","USB","27","URB_INTERRUPT in"
"3641","111.282287","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3642","111.282473","host","1.2.1","USB","27","URB_INTERRUPT in"
"3643","111.284932","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3644","111.285137","host","1.2.1","USB","27","URB_INTERRUPT in"
"3645","111.287932","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3646","111.288156","host","1.2.1","USB","27","URB_INTERRUPT in"
"3647","111.563008","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3648","111.563185","host","1.2.1","USB","27","URB_INTERRUPT in"
"3649","111.595262","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3650","111.595443","host","1.2.1","USB","27","URB_INTERRUPT in"
"3651","112.766929","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3652","112.767101","host","1.2.1","USB","27","URB_INTERRUPT in"
"3653","113.042236","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3654","113.042420","host","1.2.1","USB","27","URB_INTERRUPT in"
"3655","114.118951","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3656","114.119062","host","1.2.1","USB","27","URB_INTERRUPT in"
"3657","114.702883","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3658","114.702944","host","1.2.1","USB","27","URB_INTERRUPT in"
"3659","114.982921","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3660","114.983054","host","1.2.1","USB","27","URB_INTERRUPT in"
"3661","115.202940","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3662","115.203031","host","1.2.1","USB","27","URB_INTERRUPT in"
"3663","115.384960","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3664","115.385069","host","1.2.1","USB","27","URB_INTERRUPT in"
"3665","115.388245","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3666","115.388358","host","1.2.1","USB","27","URB_INTERRUPT in"
"3667","115.742195","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3668","115.742379","host","1.2.1","USB","27","URB_INTERRUPT in"
"3669","115.920952","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3670","115.921048","host","1.2.1","USB","27","URB_INTERRUPT in"
"3671","116.239948","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3672","116.240043","host","1.2.1","USB","27","URB_INTERRUPT in"
"3673","116.816136","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3674","116.816291","host","1.2.1","USB","27","URB_INTERRUPT in"
"3675","117.015993","controller","host","HCI_EVT","35","Rcvd Mode Change"
"3676","117.016153","host","1.2.1","USB","27","URB_INTERRUPT in"
"3677","117.051911","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3678","117.052087","host","1.2.1","USB","27","URB_INTERRUPT in"
"3679","117.125192","controller","host","HCI_EVT","30","Rcvd Inquiry Complete"
"3680","117.125358","host","1.2.1","USB","27","URB_INTERRUPT in"
"3681","117.228911","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3682","117.229026","host","1.2.1","USB","27","URB_INTERRUPT in"
"3683","117.345200","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3684","117.345392","host","1.2.1","USB","27","URB_INTERRUPT in"
"3685","117.369991","controller","host","HCI_EVT","45","Rcvd LE Meta (LE Advertising Report)"
"3686","117.370164","host","1.2.1","USB","27","URB_INTERRUPT in"
"3687","117.392263","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3688","117.392454","host","1.2.1","USB","27","URB_INTERRUPT in"
"3689","117.394911","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3690","117.395077","host","1.2.1","USB","27","URB_INTERRUPT in"
"3691","117.614951","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3692","117.615069","host","1.2.1","USB","27","URB_INTERRUPT in"
"3693","117.683116","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3694","117.683233","host","1.2.1","USB","27","URB_INTERRUPT in"
"3695","117.714159","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3696","117.714278","host","1.2.1","USB","27","URB_INTERRUPT in"
"3697","117.842227","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3698","117.842421","host","1.2.1","USB","27","URB_INTERRUPT in"
"3699","118.015298","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3700","118.015408","host","1.2.1","USB","27","URB_INTERRUPT in"
"3701","118.050949","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3702","118.051136","host","1.2.1","USB","27","URB_INTERRUPT in"
"3703","118.381102","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3704","118.381178","host","1.2.1","USB","27","URB_INTERRUPT in"
"3705","118.545879","controller","host","HCI_EVT","45","Rcvd LE Meta (LE Advertising Report)"
"3706","118.545953","host","1.2.1","USB","27","URB_INTERRUPT in"
"3707","118.796974","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3708","118.797072","host","1.2.1","USB","27","URB_INTERRUPT in"
"3709","118.827081","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3710","118.827183","host","1.2.1","USB","27","URB_INTERRUPT in"
"3711","118.830087","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3712","118.830188","host","1.2.1","USB","27","URB_INTERRUPT in"
"3713","118.861931","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3714","118.862023","host","1.2.1","USB","27","URB_INTERRUPT in"
"3715","119.201888","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3716","119.202021","host","1.2.1","USB","27","URB_INTERRUPT in"
"3717","119.347948","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3718","119.348047","host","1.2.1","USB","27","URB_INTERRUPT in"
"3719","119.391896","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3720","119.392000","host","1.2.1","USB","27","URB_INTERRUPT in"
"3721","119.412935","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3722","119.413030","host","1.2.1","USB","27","URB_INTERRUPT in"
"3723","119.415974","controller","host","HCI_EVT","45","Rcvd LE Meta (LE Advertising Report)"
"3724","119.416052","host","1.2.1","USB","27","URB_INTERRUPT in"
"3725","119.555214","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3726","119.555407","host","1.2.1","USB","27","URB_INTERRUPT in"
"3727","119.704914","controller","host","HCI_EVT","40","Rcvd Sniff Subrating"
"3728","119.705003","host","1.2.1","USB","27","URB_INTERRUPT in"
"3729","119.835064","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3730","119.835166","host","1.2.1","USB","27","URB_INTERRUPT in"
"3731","119.944910","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3732","119.945054","host","1.2.1","USB","27","URB_INTERRUPT in"
"3733","120.112141","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3734","120.112280","host","1.2.1","USB","27","URB_INTERRUPT in"
"3735","120.147094","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3736","120.147196","host","1.2.1","USB","27","URB_INTERRUPT in"
"3737","120.185956","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3738","120.186132","host","1.2.1","USB","27","URB_INTERRUPT in"
"3739","120.214215","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3740","120.214407","host","1.2.1","USB","27","URB_INTERRUPT in"
"3741","120.452884","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3742","120.452980","host","1.2.1","USB","27","URB_INTERRUPT in"
